title,details,date,time,location,url,image_url,source
Mountain Bike Rental with Chattanooga Guided Adventures,N/A,11-22,Open link for time,Chattanooga Guided Adventures,https://www.visitchattanooga.com/event/mountain-bike-rental-with-chattanooga-guided-adventures/19809/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Incline-Railway-Bike-Tour_E81C8BF8-A9AE-4386-99A3AE8E86E6EFF0_8c1b23e6-485b-4296-9d4b5d7719fd0143.jpg",Visit Chattanooga
Music  with Jesse Jungkurth,N/A,11-22,Open link for time,Comedy Catch at the Choo Choo and Backstage Bar,https://www.visitchattanooga.com/event/music-with-jesse-jungkurth/20540/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/jesseJ_4845C962-0AB4-1552-43BB08A6A5CFAE13_48576a84-f14c-d248-c0fdf1fa5a3638ed.png",Visit Chattanooga
Soddy-Daisy Holiday Drive-Thru Light Show,"Join Nooga Lights weekends (Fri, Sat, Sun) starting November 22nd and nightly starting December 29th for NoogaLights in Soddy-Daisy! Our 202... Cost: $ 20 per vehicle",11-22,06:00 PM,Soddy-Daisy,https://www.cha.guide/events/soddy-daisy-holiday-drive-thru-light-show,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,11-22,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-6,N/A,CHA Guide Events
Killer Beaz @ The Comedy Catch,"Celebrating his eighth season on Discovery Channel’s hit series, “Moonshiners”, comedian Killer Beaz is touring the nation when not filming.... Cost: $ 25-30",11-22,09:15 AM,The Comedy Catch,https://www.cha.guide/events/killer-beaz-the-comedy-catch-2,N/A,CHA Guide Events
The Dinner Detective Comedy Mystery Dinner Show,America’s largest interactive comedy murder mystery dinner theatre show is now playing! Solve a hilarious mystery while you feast on a fanta... Cost: $ 61+,11-23,6-9pm,DoubleTree Chattanooga Hamilton Place,https://www.cha.guide/events/the-dinner-detective-comedy-mystery-dinner-show-10,N/A,CHA Guide Events
Christmas Tea (Sold Out),Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,11-23,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-7,N/A,CHA Guide Events
Christkindlmarkt,⭐️Mark your calendar for Christkindlmarkt at Coolidge Park!🎄Step into a world where the aroma of gingerbread fills the air and the sound of... Cost: $,Unexpected input.,Event may have multiple dates or times.,Coolidge Park,https://www.cha.guide/events/christkindlmarkt-3,N/A,CHA Guide Events
Killer Beaz @ The Comedy Catch,"Celebrating his eighth season on Discovery Channel’s hit series, “Moonshiners”, comedian Killer Beaz is touring the nation when not filming.... Cost: $ 25-30",11-23,09:00 AM,The Comedy Catch,https://www.cha.guide/events/killer-beaz-the-comedy-catch-3,N/A,CHA Guide Events
Merry Grinchmas Market,Join Touch the Sky Events & Promotions for The Merry Grinchmas Market at the Catoosa Colonnade!... Cost: $,11-23,04:00 PM,Colonnade Event Center,https://www.cha.guide/events/merry-grinchmas-market,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",11-23,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-4,N/A,CHA Guide Events
David Cross - The End of The Beginning of The End,"Emmy Award winner and two-time Grammy Award nominee, David Cross is an inventive performer, writer, and producer on stage and screen. David’... Cost: $ 29+",11-23,08:00 PM,Walker Theatre,https://www.cha.guide/events/david-cross---the-end-of-the-beginning-of-the-end,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,11-24,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-8,N/A,CHA Guide Events
Dustin Nickerson @ The Comedy Catch,"Dustin Nickerson is “the world’s most average person.” A comedian who performs in over 300 shows a year, his videos have been viewed over 20... Cost: $ 22-30",11-24,06:00 PM,The Comedy Catch,https://www.cha.guide/events/dustin-nickerson-the-comedy-catch,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",11-24,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-5,N/A,CHA Guide Events
Red Bank community Movie Night - Elf,Come join us City of Red Bank for a family friendly movie night featuring Elf! With FREE popcorn! (While Supplies Last)... Cost: $,11-25,07:00 PM,Red Bank Community Center,https://www.cha.guide/events/red-bank-community-movie-night---elf,N/A,CHA Guide Events
Retro Halloween Party,"Get ready to travel back in time and celebrate Halloween in retro style with our groovy costumes, funky music, and nostalgic vibes!... Cost: $ 23.18",11-26,07:00 PM,Reagan's Retro Bar,https://www.cha.guide/events/retro-halloween-party,N/A,CHA Guide Events
Chattanooga Thanksgiving Eve Bar Crawl,Join PubCrawls.com for a wild night to celebrate Thanksgiving the proper way!... Cost: $ 0-24,11-27,5-11pm,Chattanooga,https://www.cha.guide/events/chattanooga-thanksgiving-eve-bar-crawl,N/A,CHA Guide Events
Thanksgiving at Bridgeman's,Give thanks at Bridgeman’s Chophouse with your closest friends and family and enjoy their full menu with special Thanksgiving features.... Cost: $,11-28,Open link for time,Bridgeman’s Chophouse,https://www.cha.guide/events/thanksgiving-at-bridgemans,N/A,CHA Guide Events
Thanksgiving Day Dinner at Whitebird/The Edwin Hotel,Join Whitebird for a traditional family-style Thanksgiving dinner on November 28th between 1 PM and 9 PM (last seating at 8 PM). Gather with... Cost: $,11-28,1-9pm,Whitebird,https://www.cha.guide/events/thanksgiving-day-dinner-at-whitebird-the-edwin-hotel,N/A,CHA Guide Events
Soddy-Daisy Holiday Drive-Thru Light Show,"Join Nooga Lights weekends (Fri, Sat, Sun) starting November 22nd and nightly starting December 29th for NoogaLights in Soddy-Daisy! Our 202... Cost: $ 20 per vehicle",11-29,06:00 PM,Soddy-Daisy,https://www.cha.guide/events/soddy-daisy-holiday-drive-thru-light-show-2,N/A,CHA Guide Events
The Black Carpet Experience,"The All Black Event You’ve Been Waiting For! Friday November 29th, at Southside Social Come Ready for an Experience!... Cost: $ 37",11-29,08:00 PM,Southside Social,https://www.cha.guide/events/the-black-carpet-experience,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,11-29,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-9,N/A,CHA Guide Events
Patrick Garrity @ The Comedy Catch,"Patrick Garrity is fresh & original! Starting comedy at an early age, Patrick has developed into a veteran of the road. His comedy has earne... Cost: $ 19-24",11-29,09:45 AM,The Comedy Catch,https://www.cha.guide/events/patrick-garrity-the-comedy-catch,N/A,CHA Guide Events
Reindeer on the Riverfront & Lighted Boat Parade,"Taking place the Friday after Thanksgiving for over the past 40+ years, The Southern Belle and Erwin Marine Sales have lit up the Tennessee ... Cost: $",11-29,4-8pm,Ross's Landing,https://www.cha.guide/events/reindeer-on-the-riverfront-lighted-boat-parade,N/A,CHA Guide Events
Holiday Jubilee,"Join The Read House Hotel for an evening of merriment and festivities at our Holiday Jubilee! Enjoy live entertainment, a complimentary Hot ... Cost: $",11-29,4-7pm,The Read House Hotel,https://www.cha.guide/events/holiday-jubilee,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",11-29,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-6,N/A,CHA Guide Events
Gabriel Iglesias @ Soldiers and Sailors Memorial Auditorium,Gabriel “Fluffy” Iglesias is one of the world’s most successful stand-up comedians. He recently became the second highest grossing touring c... Cost: $ 54+,11-29,08:00 PM,Soldiers and Sailors Memorial Auditorium,https://www.cha.guide/events/gabriel-iglesias-soldiers-and-sailors-memorial-auditorium,N/A,CHA Guide Events
Holidays at Ruby Falls on Lookout Mountain,The Season Shines Bright at Ruby Falls!... Cost: $,11-29,10:00 PM,Ruby Falls,https://www.cha.guide/events/holidays-at-ruby-falls-on-lookout-mountain,N/A,CHA Guide Events
Breakfast with Santa-November 30th,Breakfast with Santa-Join The Read House in the Silver Ballroom for Breakfast with Santa!... Cost: $ 0-43,11-30,9-10:30am,The Read House,https://www.cha.guide/events/breakfast-with-santa-november-30th,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,11-30,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-10,N/A,CHA Guide Events
Patrick Garrity @ The Comedy Catch,"Patrick Garrity is fresh & original! Starting comedy at an early age, Patrick has developed into a veteran of the road. His comedy has earne... Cost: $ 19-24",11-30,09:45 AM,The Comedy Catch,https://www.cha.guide/events/patrick-garrity-the-comedy-catch-2,N/A,CHA Guide Events
Chattanooga Hungry Turkey,Burn off the Thanksgiving calories and don't get caught by the Hungry Turkey!... Cost: $ 45+,11-30,08:00 PM,Chattanooga Theatre Centre,https://www.cha.guide/events/chattanooga-hungry-turkey,N/A,CHA Guide Events
Breakfast with Santa,Join Santa & Mrs. Claus for breakfast in the Silver Ballroom before they start their final countdown in preparation for Christmas!... Cost: $ 0-35,11-30,9-10:30am,The Read House,https://www.cha.guide/events/breakfast-with-santa,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",11-30,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-7,N/A,CHA Guide Events
Holidays at Ruby Falls on Lookout Mountain,The Season Shines Bright at Ruby Falls!... Cost: $,11-30,10:00 PM,Ruby Falls,https://www.cha.guide/events/holidays-at-ruby-falls-on-lookout-mountain-2,N/A,CHA Guide Events
The Mountain Goats with Joelton Mayfield @ Walker Theatre,"Jenny from Thebes began its life as many albums by the Mountain Goats do, with John Darnielle playing the piano until a lyric emerged. That ... Cost: $ 52+",12-01,07:30 PM,Walker Theatre,https://www.cha.guide/events/the-mountain-goats-with-joelton-mayfield,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-01,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-11,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-01,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-8,N/A,CHA Guide Events
Sensory Night @ Creative Discovery Museum,"For parents of children with sensory sensitivity, finding times for the whole family to play without stress can be difficult. But Sensory Ni... Cost: $",12-03,05:30 PM,Creative Discovery Museum,https://www.cha.guide/events/sensory-night-creative-discovery-museum-4,N/A,CHA Guide Events
Jenna Kim Jones @ The Comedy Catch,"Jenna started performing stand-up during her time working at 'The Daily Show with Jon Stewart' and has since released 4 audio specials, all ... Cost: $ 20-25",12-05,07:00 PM,The Comedy Catch,https://www.cha.guide/events/jenna-kim-jones-the-comedy-catch,N/A,CHA Guide Events
Soddy-Daisy Holiday Drive-Thru Light Show,"Join Nooga Lights weekends (Fri, Sat, Sun) starting November 22nd and nightly starting December 29th for NoogaLights in Soddy-Daisy! Our 202... Cost: $ 20 per vehicle",12-06,06:00 PM,Soddy-Daisy,https://www.cha.guide/events/soddy-daisy-holiday-drive-thru-light-show-3,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-06,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-12,N/A,CHA Guide Events
Mr. Showtime David Scott @ The Comedy Catch,"SATURDAY'S 5 PM SHOW IS AN ALL AGES SHOW WITH KIDS UNDER 5 FREE. IF YOU THINK YOU HAVE SEEN IT ALL, YOU HAVEN’T SEEN ANYTHING YET. Mr. Showt... Cost: $ 20-25",12-06,09:45 AM,The Comedy Catch,https://www.cha.guide/events/mr-showtime-david-scott-the-comedy-catch,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-06,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-9,N/A,CHA Guide Events
Holidays at Ruby Falls on Lookout Mountain,The Season Shines Bright at Ruby Falls!... Cost: $,12-06,10:00 PM,Ruby Falls,https://www.cha.guide/events/holidays-at-ruby-falls-on-lookout-mountain-3,N/A,CHA Guide Events
Moon Taxi @ The Signal,"Once again ready to push the boundaries of their genre, Nashville based indie alt-rock band Moon Taxi is back with their sixth full length a... Cost: $ 37+",12-07,08:00 PM,The Signal - Concert Hall,https://www.cha.guide/events/moon-taxi-the-signal,N/A,CHA Guide Events
Christmas Tea (Sold Out),Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-07,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-13,N/A,CHA Guide Events
Mr. Showtime David Scott @ The Comedy Catch,"SATURDAY'S 5 PM SHOW IS AN ALL AGES SHOW WITH KIDS UNDER 5 FREE. IF YOU THINK YOU HAVE SEEN IT ALL, YOU HAVEN’T SEEN ANYTHING YET. Mr. Showt... Cost: $ 0-25",12-07,07:30 AM,The Comedy Catch,https://www.cha.guide/events/mr-showtime-david-scott-the-comedy-catch-2,N/A,CHA Guide Events
The Love and Marriage Game hosted by Bad Santa,How well do you know your better half? Bad Santa hosts this hilarious show where YOU can play for a shot to win an awesome prize! Battle aga... Cost: $ 15,12-07,10:00 PM,The Comedy Catch,https://www.cha.guide/events/the-love-and-marriage-game-hosted-by-bad-santa,N/A,CHA Guide Events
Mistletoe Market,"Join Touch the Sky Events & Promotions for the Mistletoe Market at Bradley Square Mall! Enjoy pictures with Santa, over 200 craft and commer... Cost: $",12-07,December 7th 10am–5pm / December 8th 12–5pm,Bradley Square Mall,https://www.cha.guide/events/mistletoe-market,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-07,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-10,N/A,CHA Guide Events
Holidays at Ruby Falls on Lookout Mountain,The Season Shines Bright at Ruby Falls!... Cost: $,12-07,10:00 PM,Ruby Falls,https://www.cha.guide/events/holidays-at-ruby-falls-on-lookout-mountain-4,N/A,CHA Guide Events
Derrick Stroup @ The Comedy Catch,"Alabama native, Waffle House enthusiast and stand-up comedian Derrick Stroup is not your average slow talking Southerner. With the cadence o... Cost: $ 20-30",12-08,06:00 PM,The Comedy Catch,https://www.cha.guide/events/derrick-stroup-the-comedy-catch,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-08,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-11,N/A,CHA Guide Events
Herb Alpert & Lani Hall - A Christmas Wish,Here is your chance to see 2 legendary performers. Music icon Herb Alpert & his wife Lani Hall who was the lead singer of those classic Braz... Cost: $ 49+,12-11,07:30 PM,Walker Theatre,https://www.cha.guide/events/herb-alpert-lani-hall-a-christmas-wish,N/A,CHA Guide Events
Jon Rudnitsky @ The Comedy Catch,"Jon Rudnitsky has been all over the comedic industry scene, from SNL, Curb Your Enthusiasm, Home Again with Reese Witherspoon, Catch 22 with... Cost: $ 20-30",12-12,07:00 PM,The Comedy Catch,https://www.cha.guide/events/jon-rudnitsky-the-comedy-catch,N/A,CHA Guide Events
CHA Ballet's The Nutcracker,"Southeastern Trust proudly presents Chattanooga Ballet's enchanting performance of The Nutcracker, featuring the Chattanooga Symphony & Oper... Cost: $ 27.5",12-13,Open link for time,Soldiers and Sailors Memorial Auditorium,https://www.cha.guide/events/cha-ballets-the-nutcracker,N/A,CHA Guide Events
Soddy-Daisy Holiday Drive-Thru Light Show,"Join Nooga Lights weekends (Fri, Sat, Sun) starting November 22nd and nightly starting December 29th for NoogaLights in Soddy-Daisy! Our 202... Cost: $ 20 per vehicle",12-13,06:00 PM,Soddy-Daisy,https://www.cha.guide/events/soddy-daisy-holiday-drive-thru-light-show-4,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-13,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-14,N/A,CHA Guide Events
Justin Smith @ The Comedy Catch,"Justin Smith is a Nashville based comedian from Oklahoma City, Oklahoma. On paper he is the definition of an Oklahoma stereotype. He was rai... Cost: $ 19-24",12-13,09:45 AM,The Comedy Catch,https://www.cha.guide/events/justin-smith-the-comedy-catch,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-13,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-12,N/A,CHA Guide Events
Holidays at Ruby Falls on Lookout Mountain,The Season Shines Bright at Ruby Falls!... Cost: $,12-13,10:00 PM,Ruby Falls,https://www.cha.guide/events/holidays-at-ruby-falls-on-lookout-mountain-5,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-14,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-15,N/A,CHA Guide Events
Justin Smith @ The Comedy Catch,"Justin Smith is a Nashville based comedian from Oklahoma City, Oklahoma. On paper he is the definition of an Oklahoma stereotype. He was rai... Cost: $ 19-24",12-14,09:45 AM,The Comedy Catch,https://www.cha.guide/events/justin-smith-the-comedy-catch-2,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-14,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-13,N/A,CHA Guide Events
Holidays at Ruby Falls on Lookout Mountain,The Season Shines Bright at Ruby Falls!... Cost: $,12-14,10:00 PM,Ruby Falls,https://www.cha.guide/events/holidays-at-ruby-falls-on-lookout-mountain-6,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-15,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-16,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-15,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-14,N/A,CHA Guide Events
Zakk Sabbath: King of the Monstours,"Guitarist/vocalist Zakk Wylde (BLACK LABEL SOCIETY, OZZY OSBOURNE), bassist Blasko (OZZY OSBOURNE, ROB ZOMBIE) and drummer Joey Castillo (DA... Cost: $ 51.58-81.09",12-17,07:00 PM,The Signal,https://www.cha.guide/events/zakk-sabbath-king-of-the-monstours,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-17,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-15,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-18,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-16,N/A,CHA Guide Events
"WHITECHAPEL ""TENNESSEE TAKEOVER 2024""","At this stage in the game, the name Whitechapel commands respect. Already sitting on one of the most enviable catalogs in contemporary metal... Cost: $ 37.37-63.63",12-19,07:00 PM,The Signal,https://www.cha.guide/events/whitechapel-tennessee-takeover-2024,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-19,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-17,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-19,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-17,N/A,CHA Guide Events
Soddy-Daisy Holiday Drive-Thru Light Show,"Join Nooga Lights weekends (Fri, Sat, Sun) starting November 22nd and nightly starting December 29th for NoogaLights in Soddy-Daisy! Our 202... Cost: $ 20 per vehicle",12-20,06:00 PM,Soddy-Daisy,https://www.cha.guide/events/soddy-daisy-holiday-drive-thru-light-show-5,N/A,CHA Guide Events
Christmas Tea,Join Tennessee Valley Railroad Museum for a Festive Holiday Tea Room Experience in the charming upstairs viewing room of Grand Junction Depo... Cost: $ 45-60,12-20,11:00 AM,Tennessee Valley Railroad Museum,https://www.cha.guide/events/christmas-tea-18,N/A,CHA Guide Events
Home For The Holidays,"A showcase of local and national talent that are ""home for the holidays"". You never know who might show up.... Cost: $ 19-24",12-20,07:30 PM,The Comedy Catch,https://www.cha.guide/events/home-for-the-holidays,N/A,CHA Guide Events
NORTH POLE LIMITED CHRISTMAS TRAIN,"As the most popular annual event, North Pole Limited train rides have been a family tradition since 1999. During the magical holiday season,... Cost: $ 40-65",12-20,Open link for time,Tennessee Valley Railroad Museum,https://www.cha.guide/events/north-pole-limited-christmas-train-18,N/A,CHA Guide Events
Holidays at Ruby Falls on Lookout Mountain,The Season Shines Bright at Ruby Falls!... Cost: $,12-20,10:00 PM,Ruby Falls,https://www.cha.guide/events/holidays-at-ruby-falls-on-lookout-mountain-7,N/A,CHA Guide Events
